battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1969.0,1,2.9509816570230245,1,0.0,1,19.0,0.9925596752030025,177.0,3.0,8.0,1357.0,1509.0,377.0,8.0,1.0,2.0,1,1,1,0
1072.0,0,1.823998770421784,0,0.0,0,30.0,0.19989310864503892,150.0,1.0,6.0,416.0,1278.0,2231.0,11.0,6.0,18.0,0,1,1,1
1808.0,0,0.5119086683778744,0,9.0,1,57.0,0.7146638657767126,160.0,6.0,10.0,245.0,1693.0,2763.0,9.0,2.0,6.0,1,1,1,3
1483.0,1,0.6907229664013909,0,5.0,0,32.0,0.7304848257378983,90.0,2.0,9.0,1919.0,1919.0,1320.0,6.0,0.0,7.0,1,1,0,2
1008.0,0,0.47058200572080655,0,2.0,1,64.0,0.8882222812418437,103.0,2.0,6.0,1688.0,1748.0,3720.0,17.0,11.0,11.0,1,0,0,3
1450.0,0,1.6057285596222324,0,3.0,1,13.0,0.7067229065531346,171.0,5.0,15.0,1563.0,1670.0,1202.0,14.0,9.0,4.0,1,0,0,1
1581.0,1,1.2086821710675257,0,6.0,0,41.0,0.5704677034463623,135.0,3.0,15.0,159.0,1275.0,1592.0,10.0,5.0,16.0,0,0,1,1
802.0,0,0.6485313320588711,1,6.0,1,20.0,0.5004455782236573,110.0,1.0,11.0,655.0,1984.0,1694.0,12.0,1.0,2.0,1,0,0,1
1309.0,1,2.680712115936659,0,7.0,0,65.0,0.8184944315436863,125.0,6.0,16.0,27.0,578.0,3327.0,5.0,3.0,13.0,0,0,0,2
681.0,0,2.6870620298802885,0,6.0,0,18.0,0.2915804524304538,170.0,6.0,19.0,764.0,886.0,1293.0,7.0,0.0,18.0,1,0,1,0
1682.0,0,2.153986015579195,0,3.0,1,63.0,0.9219460371532887,132.0,2.0,10.0,440.0,522.0,314.0,19.0,0.0,9.0,1,1,0,0
1765.0,0,0.41908799973676575,0,0.0,1,24.0,0.503751604914133,99.0,6.0,10.0,1043.0,1432.0,3979.0,19.0,5.0,12.0,1,0,0,3
706.0,1,2.4021936038107095,0,12.0,1,33.0,0.41660416285733204,159.0,1.0,17.0,675.0,1411.0,3743.0,14.0,1.0,4.0,1,1,1,3
605.0,0,1.4615241323762764,0,8.0,1,18.0,0.9009850436911927,162.0,2.0,14.0,273.0,678.0,2331.0,14.0,9.0,8.0,1,0,0,1
1147.0,1,1.471267841076806,1,0.0,0,22.0,0.38753445956686383,190.0,1.0,10.0,163.0,734.0,3325.0,15.0,0.0,8.0,0,0,0,2
1970.0,0,1.5982045765526613,1,4.0,1,38.0,0.8056468088341628,150.0,4.0,6.0,784.0,1168.0,1994.0,8.0,0.0,4.0,1,0,0,2
1474.0,0,3.056828581140138,0,3.0,0,12.0,0.6164557069597132,135.0,2.0,4.0,895.0,994.0,1476.0,14.0,3.0,20.0,1,1,0,1
514.0,1,0.528114106541792,1,5.0,0,16.0,0.12748553167195906,164.0,0.0,9.0,758.0,1642.0,657.0,16.0,15.0,14.0,1,0,1,0
1471.0,1,0.8544679717315097,1,0.0,1,41.0,0.40361249555610984,120.0,4.0,0.0,696.0,892.0,1614.0,15.0,2.0,18.0,1,0,0,1
570.0,0,0.8206368165771787,0,1.0,1,28.0,0.10429555458123299,131.0,5.0,3.0,1001.0,1265.0,3026.0,16.0,4.0,4.0,1,1,1,2
860.0,1,1.714366512558213,1,0.0,0,33.0,0.7159817310526116,172.0,1.0,2.0,53.0,1330.0,1542.0,11.0,1.0,6.0,1,1,0,0
1639.0,0,1.576476946012733,1,7.0,0,28.0,0.41911883247312637,150.0,1.0,10.0,669.0,660.0,2524.0,16.0,10.0,2.0,1,0,0,2
1930.0,1,1.9965979921260273,0,10.0,0,15.0,0.7896685618947584,187.0,8.0,11.0,1907.0,1958.0,1893.0,17.0,2.0,13.0,0,0,1,2
1093.0,1,2.1477853735900623,1,5.0,0,18.0,0.38526036143288556,115.0,7.0,16.0,402.0,876.0,2735.0,14.0,8.0,16.0,0,1,0,2
551.0,0,1.504028507489134,0,5.0,1,24.0,0.21185626199911742,133.0,5.0,7.0,1111.0,1714.0,3867.0,17.0,10.0,15.0,1,1,1,3
1549.0,1,0.6669566800312203,1,4.0,0,28.0,0.19210780823168067,124.0,0.0,4.0,946.0,1165.0,1386.0,13.0,4.0,17.0,1,0,1,1
1757.0,0,0.7214502786054573,0,6.0,0,60.0,0.1350014487178218,154.0,4.0,10.0,629.0,785.0,1427.0,13.0,4.0,14.0,1,0,0,1
1321.0,1,1.2806305343333884,0,0.0,1,63.0,0.4081761333112492,109.0,8.0,8.0,840.0,950.0,1436.0,7.0,6.0,15.0,1,1,1,1
1084.0,0,0.45364604656350527,1,0.0,1,18.0,0.9016943062618731,199.0,8.0,9.0,346.0,898.0,1188.0,18.0,11.0,12.0,1,1,0,0
1701.0,1,0.8480807508510017,1,1.0,0,51.0,0.602578142171577,191.0,3.0,3.0,370.0,1209.0,2386.0,13.0,9.0,13.0,1,0,1,2
559.0,0,0.6086359558442272,0,5.0,1,54.0,0.19684151214149345,179.0,1.0,9.0,539.0,553.0,448.0,10.0,4.0,12.0,1,1,1,0
641.0,1,1.3030429525941654,1,6.0,1,27.0,0.5125917120112643,111.0,0.0,15.0,1141.0,1642.0,2313.0,9.0,0.0,19.0,1,0,1,2
1395.0,0,1.4031023473667532,0,1.0,1,36.0,0.7818814952727686,183.0,0.0,5.0,31.0,1276.0,3078.0,13.0,7.0,14.0,1,1,0,2
642.0,0,2.6889288364576664,0,6.0,1,5.0,0.511116785678832,111.0,3.0,6.0,1065.0,1872.0,1973.0,14.0,4.0,1.0,1,0,1,1
772.0,0,1.0495459652713777,1,9.0,1,44.0,0.4960672511096043,122.0,7.0,10.0,0.0,520.0,1299.0,19.0,1.0,11.0,1,0,0,0
1026.0,1,2.492837895295627,1,5.0,0,10.0,0.8975316380167161,156.0,0.0,13.0,1557.0,1791.0,3774.0,6.0,2.0,16.0,0,0,1,3
1480.0,0,2.1133029115947695,0,0.0,1,53.0,0.1833794449075941,177.0,6.0,1.0,534.0,746.0,1781.0,15.0,12.0,2.0,1,1,0,1
1480.0,0,0.532538213000195,0,1.0,0,39.0,0.7997185675382296,115.0,5.0,5.0,1535.0,1654.0,3041.0,13.0,10.0,19.0,0,0,0,3
1615.0,0,2.633266091542251,1,6.0,0,4.0,0.8981490054428666,189.0,6.0,18.0,486.0,1374.0,986.0,18.0,14.0,12.0,1,0,0,1
962.0,1,1.3555772313633065,1,0.0,1,57.0,0.6112479410563237,112.0,7.0,2.0,291.0,1457.0,2845.0,18.0,8.0,7.0,1,1,1,2
636.0,1,0.8027305777983221,0,4.0,0,40.0,0.18096679067073712,191.0,0.0,11.0,1363.0,1849.0,3267.0,17.0,11.0,4.0,1,0,1,3
1028.0,1,0.7116837999010883,0,1.0,1,63.0,0.6848973544164598,155.0,7.0,8.0,360.0,2001.0,3192.0,11.0,10.0,7.0,1,1,1,3
1224.0,0,2.926927707479333,0,2.0,0,60.0,0.5132619714334268,124.0,4.0,8.0,416.0,1952.0,2592.0,19.0,10.0,14.0,1,1,1,2
779.0,0,1.0538600536609606,0,2.0,0,37.0,0.43960186412003904,200.0,5.0,7.0,351.0,1673.0,3433.0,13.0,7.0,4.0,0,0,1,3
1917.0,0,2.8738152910071704,1,1.0,0,16.0,0.5056134168693528,153.0,3.0,8.0,243.0,1488.0,914.0,13.0,2.0,18.0,0,1,0,0
1599.0,0,0.44346724441423147,1,4.0,1,28.0,0.9016955919315325,199.0,1.0,10.0,139.0,1005.0,3168.0,14.0,2.0,6.0,1,0,1,2
1494.0,1,1.2338546945468227,1,0.0,1,55.0,0.11937843547687213,170.0,3.0,5.0,1628.0,1701.0,1557.0,12.0,8.0,3.0,1,0,1,2
532.0,0,2.4499405915488173,0,3.0,0,56.0,0.592809332149823,183.0,5.0,11.0,766.0,1301.0,242.0,10.0,8.0,16.0,0,0,1,0
659.0,1,0.5215825713837223,1,12.0,0,60.0,0.0863031449904841,192.0,4.0,19.0,729.0,1140.0,1510.0,13.0,9.0,20.0,1,0,1,0
715.0,0,1.0914254242466315,0,11.0,0,13.0,0.9810938830056293,91.0,5.0,20.0,126.0,1400.0,2360.0,13.0,6.0,3.0,0,0,0,1
817.0,0,1.9861618079758914,1,3.0,0,53.0,0.2982348553896037,85.0,5.0,12.0,1001.0,1281.0,3492.0,4.0,4.0,5.0,1,0,1,3
1073.0,0,0.5120617030433086,1,0.0,1,22.0,0.40045756668215554,163.0,4.0,0.0,798.0,916.0,3480.0,6.0,3.0,7.0,1,0,0,3
1135.0,1,2.7008076492637656,0,0.0,0,38.0,0.38840151166488956,152.0,8.0,1.0,412.0,847.0,1056.0,6.0,2.0,11.0,1,1,0,0
1396.0,1,2.360824231891413,0,4.0,1,41.0,0.6079104661918127,113.0,4.0,13.0,1187.0,1930.0,2434.0,10.0,0.0,8.0,1,0,0,3
1188.0,1,2.1951127521723044,1,6.0,0,25.0,0.8156790410826518,122.0,4.0,6.0,449.0,662.0,1006.0,10.0,4.0,8.0,0,1,1,0
561.0,0,0.4528321716397215,1,2.0,0,26.0,0.2027479716685274,167.0,2.0,10.0,984.0,1389.0,2476.0,19.0,1.0,1.0,1,1,1,2
1487.0,0,2.44259400423603,1,7.0,0,31.0,0.6421678176974062,198.0,0.0,16.0,164.0,819.0,828.0,7.0,5.0,7.0,0,0,0,0
1518.0,1,0.4708865030678435,1,0.0,0,19.0,0.46508918014565975,127.0,2.0,0.0,1623.0,1930.0,530.0,14.0,9.0,12.0,1,1,1,1
1363.0,0,2.3409684310905914,1,5.0,1,15.0,0.8970058781262359,82.0,8.0,10.0,1007.0,1194.0,524.0,18.0,6.0,11.0,1,1,1,0
1952.0,0,2.788798152622834,1,8.0,0,17.0,0.13739445596681144,100.0,5.0,9.0,598.0,1935.0,3601.0,9.0,6.0,17.0,0,1,0,3
1755.0,0,1.2098967425309592,0,7.0,1,13.0,0.8869929412566495,114.0,6.0,17.0,381.0,1626.0,1473.0,17.0,16.0,11.0,1,1,1,1
1734.0,1,2.11025384007565,1,9.0,0,56.0,0.3089836886200828,157.0,6.0,17.0,344.0,1273.0,374.0,5.0,2.0,6.0,0,0,0,0
1777.0,0,0.8975637913014123,0,9.0,1,10.0,0.2925860051190875,115.0,1.0,17.0,106.0,1798.0,2422.0,6.0,4.0,6.0,1,1,1,2
1685.0,0,2.7740701776535492,1,7.0,0,8.0,0.10309344987905267,186.0,2.0,10.0,102.0,731.0,3670.0,8.0,1.0,10.0,1,0,1,3
894.0,0,1.4677223085297764,1,0.0,1,19.0,0.7987071189257762,187.0,4.0,1.0,504.0,1053.0,2941.0,13.0,13.0,10.0,1,0,1,2
627.0,1,1.20618434017901,1,0.0,0,47.0,0.9112355522435319,91.0,3.0,1.0,1088.0,1324.0,3462.0,14.0,1.0,11.0,1,1,0,3
1476.0,1,0.5524100825594018,1,1.0,1,25.0,0.9062992341106771,124.0,5.0,11.0,32.0,1053.0,2778.0,12.0,10.0,13.0,1,0,0,2
776.0,1,0.48890327781593673,1,3.0,0,46.0,0.4881432316466481,105.0,8.0,15.0,97.0,510.0,1051.0,15.0,4.0,9.0,1,0,1,0
1032.0,0,0.45158302135442846,1,14.0,1,50.0,0.3171958965977635,178.0,2.0,14.0,616.0,1164.0,3994.0,12.0,4.0,18.0,1,0,0,3
565.0,0,2.0804580082000133,1,17.0,1,14.0,0.4982539418267033,197.0,6.0,20.0,929.0,1712.0,685.0,14.0,4.0,4.0,1,1,1,0
872.0,1,1.5698076836013208,1,6.0,1,28.0,0.4890307352901758,132.0,5.0,18.0,408.0,608.0,601.0,19.0,17.0,10.0,1,0,1,0
